Date,Day,Time,Hour_missing,Hour,Petite Frite,Moyenne Frite,Grande Frite,Burger,valeur commande
05/02/2020,Wednesday,,1.00,11.00,1,0,0,2,14
05/02/2020,Wednesday,,1.00,11.00,0,0,2,0,8
05/02/2020,Wednesday,,1.00,11.00,1,2,0,3,26
05/02/2020,Wednesday,,1.00,11.00,1,0,0,0,2
05/02/2020,Wednesday,,1.00,11.00,1,0,0,0,2
05/02/2020,Wednesday,,1.00,11.00,0,1,0,0,3
05/02/2020,Wednesday,,1.00,11.00,0,1,0,0,3
12/02/2020,Wednesday,11:15,0.00,11.00,0,1,0,1,9
12/02/2020,Wednesday,12:05,0.00,12.00,0,0,1,1,10
12/02/2020,Wednesday,12:15,0.00,12.00,2,1,0,2,19
12/02/2020,Wednesday,12:30,0.00,12.00,0,0,1,0,4
12/02/2020,Wednesday,12:45,0.00,12.00,1,0,0,1,8
12/02/2020,Wednesday,,1.00,12.00,1,0,0,0,2
12/02/2020,Wednesday,,1.00,12.00,0,0,1,0,4
12/02/2020,Wednesday,,1.00,12.00,0,0,0,1,6
12/02/2020,Wednesday,,1.00,12.00,0,1,0,0,3
12/02/2020,Wednesday,,1.00,12.00,0,1,1,0,7
12/02/2020,Wednesday,,1.00,12.00,0,1,0,0,3
12/02/2020,Wednesday,,1.00,12.00,0,0,1,1,10
12/02/2020,Wednesday,,1.00,12.00,3,0,0,3,24
12/02/2020,Wednesday,,1.00,12.00,0,1,0,1,9
19/02/2020,Wednesday,11:30,0.00,11.00,1,1,0,2,17
19/02/2020,Wednesday,,1.00,11.00,0,1,0,0,3
19/02/2020,Wednesday,,1.00,11.00,1,0,0,0,2
19/02/2020,Wednesday,,1.00,11.00,0,1,0,0,3
19/02/2020,Wednesday,,1.00,11.00,0,0,1,0,4
19/02/2020,Wednesday,,1.00,11.00,0,1,1,0,7
19/02/2020,Wednesday,,1.00,11.00,0,1,0,0,3
19/02/2020,Wednesday,,1.00,11.00,0,1,0,0,3
04/03/2020,Wednesday,,1.00,11.00,1,0,1,4,30
04/03/2020,Wednesday,,1.00,11.00,1,0,0,0,2
04/03/2020,Wednesday,,1.00,11.00,1,0,0,0,2
04/03/2020,Wednesday,,1.00,11.00,0,1,0,0,3
04/03/2020,Wednesday,,1.00,11.00,0,0,4,0,16
04/03/2020,Wednesday,,1.00,11.00,0,0,0,1,6
04/03/2020,Wednesday,,1.00,11.00,0,0,1,2,16
11/03/2020,Wednesday,11:20,0.00,11.00,1,0,1,0,6
11/03/2020,Wednesday,11:45,0.00,11.00,1,0,0,2,14
11/03/2020,Wednesday,11:45,0.00,11.00,3,1,0,0,9
11/03/2020,Wednesday,11:45,0.00,11.00,1,0,0,0,2
11/03/2020,Wednesday,11:45,0.00,11.00,4,0,0,0,8
11/03/2020,Wednesday,11:50,0.00,11.00,1,1,0,2,17
11/03/2020,Wednesday,12:00,0.00,12.00,0,0,0,1,6
11/03/2020,Wednesday,,1.00,12.00,1,0,0,0,2
11/03/2020,Wednesday,,1.00,12.00,0,1,0,0,3
11/03/2020,Wednesday,,1.00,12.00,1,0,0,0,2
11/03/2020,Wednesday,,1.00,12.00,0,0,0,0,0
11/03/2020,Wednesday,,1.00,12.00,1,0,0,0,2
11/03/2020,Wednesday,,1.00,12.00,0,1,0,0,3
11/03/2020,Wednesday,,1.00,12.00,0,1,0,0,3
11/03/2020,Wednesday,,1.00,12.00,0,1,0,0,3
11/03/2020,Wednesday,,1.00,12.00,1,0,0,1,8
11/03/2020,Wednesday,,1.00,12.00,0,0,1,0,4
11/03/2020,Wednesday,,1.00,12.00,0,1,0,0,3
11/03/2020,Wednesday,,1.00,12.00,1,0,0,0,2
11/03/2020,Wednesday,,1.00,12.00,0,0,1,0,4
11/03/2020,Wednesday,,1.00,12.00,0,0,2,0,8
11/03/2020,Wednesday,,1.00,12.00,0,0,0,1,6
11/03/2020,Wednesday,,1.00,12.00,0,0,0,2,12
11/03/2020,Wednesday,,1.00,12.00,1,0,0,0,2
21/11/2019,Thursday,,1.00,11.00,2,0,0,0,4
21/11/2019,Thursday,,1.00,11.00,0,0,1,1,10
21/11/2019,Thursday,,1.00,11.00,2,0,0,0,4
21/11/2019,Thursday,,1.00,11.00,0,1,0,0,3
21/11/2019,Thursday,,1.00,11.00,1,0,1,2,18
21/11/2019,Thursday,,1.00,11.00,0,0,2,0,8
21/11/2019,Thursday,,1.00,11.00,0,1,0,1,9
28/11/2019,Thursday,,1.00,11.00,2,0,0,1,10
28/11/2019,Thursday,,1.00,11.00,1,0,0,0,2
28/11/2019,Thursday,,1.00,11.00,1,0,0,0,2
28/11/2019,Thursday,,1.00,11.00,0,1,0,0,3
28/11/2019,Thursday,,1.00,11.00,0,6,0,8,66
28/11/2019,Thursday,,1.00,11.00,2,0,0,0,4
28/11/2019,Thursday,,1.00,11.00,0,1,0,0,3
28/11/2019,Thursday,,1.00,11.00,0,0,1,0,4
28/11/2019,Thursday,,1.00,11.00,0,0,3,0,12
28/11/2019,Thursday,,1.00,11.00,1,0,0,0,2
28/11/2019,Thursday,,1.00,11.00,0,1,0,1,9
05/12/2019,Thursday,,1.00,11.00,0,0,1,0,4
05/12/2019,Thursday,,1.00,11.00,0,1,0,0,3
05/12/2019,Thursday,,1.00,11.00,1,0,0,0,2
05/12/2019,Thursday,,1.00,11.00,0,1,0,0,3
05/12/2019,Thursday,,1.00,11.00,0,0,1,2,16
05/12/2019,Thursday,,1.00,11.00,0,0,1,0,4
05/12/2019,Thursday,,1.00,11.00,0,0,0,1,6
05/12/2019,Thursday,,1.00,11.00,0,0,1,1,10
05/12/2019,Thursday,,1.00,11.00,0,0,1,2,16
05/12/2019,Thursday,,1.00,11.00,0,1,0,0,3
05/12/2019,Thursday,,1.00,11.00,0,0,0,1,6
12/12/2019,Thursday,12:00,0.00,12.00,0,2,0,0,6
12/12/2019,Thursday,,1.00,12.00,0,1,0,0,3
12/12/2019,Thursday,,1.00,12.00,0,1,0,0,3
12/12/2019,Thursday,,1.00,12.00,0,0,1,0,4
12/12/2019,Thursday,,1.00,12.00,1,0,0,0,2
12/12/2019,Thursday,,1.00,12.00,0,1,0,0,3
12/12/2019,Thursday,,1.00,12.00,0,2,0,2,18
12/12/2019,Thursday,,1.00,12.00,1,0,0,0,2
12/12/2019,Thursday,,1.00,12.00,0,0,2,2,20
12/12/2019,Thursday,,1.00,12.00,0,4,0,4,36
12/12/2019,Thursday,,1.00,12.00,0,1,0,0,3
12/12/2019,Thursday,,1.00,12.00,1,0,0,1,8
19/12/2019,Thursday,12:15,0.00,12.00,0,2,0,2,18
19/12/2019,Thursday,,1.00,12.00,1,0,0,0,2
19/12/2019,Thursday,,1.00,12.00,1,0,0,0,2
19/12/2019,Thursday,,1.00,12.00,0,0,0,1,6
19/12/2019,Thursday,,1.00,12.00,0,0,1,0,4
19/12/2019,Thursday,,1.00,12.00,0,0,2,2,20
19/12/2019,Thursday,,1.00,12.00,0,4,0,0,12
19/12/2019,Thursday,,1.00,12.00,0,1,0,1,9
19/12/2019,Thursday,,1.00,12.00,1,1,0,0,5
19/12/2019,Thursday,,1.00,12.00,0,0,2,0,8
19/12/2019,Thursday,,1.00,12.00,0,0,0,2,12
26/12/2019,Thursday,12:00,0.00,12.00,0,3,0,3,27
